Algorithm,Final_Avg_Reward,Final_Std_Reward,Max_Reward,Episodes_Trained
Hybrid Regret PPO,500.0,0.0,500.0,50
Vanilla PPO,127.53,43.40599164989911,499.4,50
REINFORCE,334.82,84.08461082610646,433.5,50
A2C,498.23999999999995,5.565608681896355,500.0,50
